Ente;Exercicio;Funcao;Referencia;PercentualLRF;IndicadorEducacaoApurado;DespesaEducacaoApurado
CARAPEBUS;2023;Educação;6º Bimestre;36.4;;
CARDOSO MOREIRA;2023;Educação;6º Bimestre;29.0;26.89;13844855.32
CARMO;2023;Educação;6º Bimestre;29.6;28.94;19271465.74
CASIMIRO DE ABREU;2023;Educação;6º Bimestre;29.9;30.01;43038695.79
COMENDADOR LEVY GASPARIAN;2023;Educação;6º Bimestre;22.3;;
CONCEICAO DE MACABU;2023;Educação;6º Bimestre;30.0;32.53;21514004.07
CORDEIRO;2023;Educação;6º Bimestre;28.8;30.01;21244137.07
DUAS BARRAS;2023;Educação;6º Bimestre;28.4;28.43;13855041.98
DUQUE DE CAXIAS;2023;Educação;6º Bimestre;28.9;;
ENGENHEIRO PAULO DE FRONTIN;2023;Educação;6º Bimestre;30.4;29.14;16233606.04
GUAPIMIRIM;2023;Educação;6º Bimestre;30.9;31.07;42470971.37
IGUABA GRANDE;2023;Educação;6º Bimestre;26.8;26.61;26351142.28
ITABORAI;2023;Educação;6º Bimestre;27.1;-27.16;100400369.23
ITAGUAI;2023;Educação;6º Bimestre;27.4;;
ITALVA;2023;Educação;6º Bimestre;25.2;25.47;13432433.95
ITAOCARA;2023;Educação;6º Bimestre;37.7;24.59;15979162.52
ITAPERUNA;2023;Educação;6º Bimestre;29.4;;
ITATIAIA;2023;Educação;6º Bimestre;33.0;30.88;76198009.65
JAPERI;2023;Educação;6º Bimestre;39.6;34.11;46846913.87
LAJE DO MURIAE;2023;Educação;6º Bimestre;11.2;34.5;12889899.81
MACAE;2023;Educação;6º Bimestre;30.6;30.5;492912924.14
MACUCO;2023;Educação;6º Bimestre;28.0;27.59;11561281.1
MAGE;2023;Educação;6º Bimestre;37.7;;
MANGARATIBA;2023;Educação;6º Bimestre;26.7;25.67;67593060.22
MARICA;2023;Educação;6º Bimestre;26.3;26.47;343934971.7
MENDES;2023;Educação;6º Bimestre;30.1;30.43;18768337.84
MESQUITA;2023;Educação;6º Bimestre;38.5;31.69;74736302.36
MIGUEL PEREIRA;2023;Educação;6º Bimestre;26.8;28.65;26154167.61
MIRACEMA;2023;Educação;6º Bimestre;28.6;24.89;18058867.71
NATIVIDADE;2023;Educação;6º Bimestre;31.8;31.08;17080809.23
NILOPOLIS;2023;Educação;6º Bimestre;26.6;-26.99;62281215.07
NITEROI;2023;Educação;6º Bimestre;28.5;-28.42;654183857.69
NOVA FRIBURGO;2023;Educação;6º Bimestre;29.6;;
NOVA IGUACU;2023;Educação;6º Bimestre;29.7;25.19;203805823.6
PARACAMBI;2023;Educação;6º Bimestre;26.3;26.34;26922112.44
PARAIBA DO SUL;2023;Educação;6º Bimestre;34.0;29.67;34238243.45
PARATY;2023;Educação;6º Bimestre;30.1;29.35;54779111.93
PATY DO ALFERES;2023;Educação;6º Bimestre;27.3;27.29;21994764.84
PETROPOLIS;2023;Educação;6º Bimestre;31.5;31.29;352456813.44
PINHEIRAL;2023;Educação;6º Bimestre;25.4;;
PIRAI;2023;Educação;6º Bimestre;33.4;32.93;55748398.13
PORCIUNCULA;2023;Educação;6º Bimestre;26.7;;
PORTO REAL;2023;Educação;6º Bimestre;25.6;26.14;40890374.61
QUATIS;2023;Educação;6º Bimestre;33.8;39.01;22127050.28
QUEIMADOS;2023;Educação;6º Bimestre;25.9;25.73;59954138.53
QUISSAMA;2023;Educação;6º Bimestre;13.8;27.95;47676521.05
RESENDE;2023;Educação;6º Bimestre;33.5;33.76;180714994.8
RIO BONITO;2023;Educação;6º Bimestre;34.7;25.96;39295330.47
RIO CLARO;2023;Educação;6º Bimestre;27.6;25.69;22098456.07
RIO DAS FLORES;2023;Educação;6º Bimestre;37.3;;
RIO DAS OSTRAS;2023;Educação;6º Bimestre;25.2;-25.39;124820510.89
SANTA MARIA MADALENA;2023;Educação;6º Bimestre;31.4;31.95;20461824.18
SANTO ANTONIO DE PADUA;2023;Educação;6º Bimestre;26.4;25.37;26611905.66
SAO FIDELIS;2023;Educação;6º Bimestre;34.2;33.62;30434215.87
SAO FRANCISCO DE ITABAPOANA;2023;Educação;6º Bimestre;25.4;25.42;26024079.99
SAO GONCALO;2023;Educação;6º Bimestre;30.7;29.08;230515539.09
SAO JOAO DA BARRA;2023;Educação;6º Bimestre;29.4;29.44;100148115.94
SAO JOAO DE MERITI;2023;Educação;6º Bimestre;20.0;10.71;43627126.69
SAO JOSE DE UBA;2023;Educação;6º Bimestre;31.1;33.48;13411292.33
SAO JOSE DO VALE DO RIO PRETO;2023;Educação;6º Bimestre;33.5;29.42;20782658.95
SAO PEDRO DA ALDEIA;2023;Educação;6º Bimestre;37.4;28.71;55837380.16
SAO SEBASTIAO DO ALTO;2023;Educação;6º Bimestre;25.0;25.59;11881431.32
SAPUCAIA;2023;Educação;6º Bimestre;27.1;29.27;24689350.84
SAQUAREMA;2023;Educação;6º Bimestre;32.9;34.12;179381970.9
SEROPEDICA;2023;Educação;6º Bimestre;28.5;25.63;51121900.32
SILVA JARDIM;2023;Educação;6º Bimestre;27.2;27.46;27601329.55
SUMIDOURO;2023;Educação;6º Bimestre;32.8;32.63;20790524.65
TANGUA;2023;Educação;6º Bimestre;26.5;25.67;19512829.55
TERESOPOLIS;2023;Educação;6º Bimestre;31.3;;
TRAJANO DE MORAIS;2023;Educação;6º Bimestre;32.0;32.07;18370626.35
TRES RIOS;2023;Educação;6º Bimestre;26.1;25.94;57843547.78
VALENCA;2023;Educação;6º Bimestre;25.9;;
VARRE-SAI;2023;Educação;6º Bimestre;30.0;29.59;13275814.81
VASSOURAS;2023;Educação;6º Bimestre;28.3;26.6;26603831.02
VOLTA REDONDA;2023;Educação;6º Bimestre;14.5;13.08;114878268.25
TANGUA;2024;Educação;6º Bimestre;25.35;;
SAO JOAO DA BARRA;2024;Educação;6º Bimestre;28.32;;
ITAOCARA;2024;Educação;6º Bimestre;36.63;;
BELFORD ROXO;2024;Educação;6º Bimestre;31.47;;
PARAIBA DO SUL;2024;Educação;6º Bimestre;31.77;;
CACHOEIRAS DE MACACU;2024;Educação;6º Bimestre;29.18;;
SAO PEDRO DA ALDEIA;2024;Educação;6º Bimestre;35.82;;
CASIMIRO DE ABREU;2024;Educação;6º Bimestre;27.36;;
MANGARATIBA;2024;Educação;6º Bimestre;18.75;;
PINHEIRAL;2024;Educação;6º Bimestre;27.21;;
COMENDADOR LEVY GASPARIAN;2024;Educação;6º Bimestre;26.37;;
SUMIDOURO;2024;Educação;6º Bimestre;28.98;;
PIRAI;2024;Educação;6º Bimestre;28.35;;
ARARUAMA;2024;Educação;6º Bimestre;27.82;;
NATIVIDADE;2024;Educação;6º Bimestre;31.4;;
CORDEIRO;2024;Educação;6º Bimestre;27.15;;
JAPERI;2024;Educação;6º Bimestre;25.93;;
RIO DAS FLORES;2024;Educação;6º Bimestre;32.39;;
BARRA DO PIRAI;2024;Educação;6º Bimestre;23.17;;
NITEROI;2024;Educação;6º Bimestre;27.83;;
TRAJANO DE MORAIS;2024;Educação;6º Bimestre;32.39;;
ITAGUAI;2024;Educação;6º Bimestre;25.73;;
VARRE-SAI;2024;Educação;6º Bimestre;26.59;;
SAO JOSE DO VALE DO RIO PRETO;2024;Educação;6º Bimestre;29.3;;
CANTAGALO;2024;Educação;6º Bimestre;26.28;;
PORCIUNCULA;2024;Educação;6º Bimestre;27.19;;
MACAE;2024;Educação;6º Bimestre;31.53;;
SAQUAREMA;2024;Educação;6º Bimestre;38.6;;
SEROPEDICA;2024;Educação;6º Bimestre;31.86;;
RIO BONITO;2024;Educação;6º Bimestre;36.82;;
MIGUEL PEREIRA;2024;Educação;6º Bimestre;25.68;;
PORTO REAL;2024;Educação;6º Bimestre;30.23;;
ENGENHEIRO PAULO DE FRONTIN;2024;Educação;6º Bimestre;25.42;;
BARRA MANSA;2024;Educação;6º Bimestre;30.29;;
TRES RIOS;2024;Educação;6º Bimestre;25.8;;
SAO JOSE DE UBA;2024;Educação;6º Bimestre;28.07;;
VASSOURAS;2024;Educação;6º Bimestre;27.22;;
ITAPERUNA;2024;Educação;6º Bimestre;38.73;;
BOM JESUS DO ITABAPOANA;2024;Educação;6º Bimestre;30.59;;
SAO FIDELIS;2024;Educação;6º Bimestre;29.04;;
PARACAMBI;2024;Educação;6º Bimestre;25.13;;
RIO DAS OSTRAS;2024;Educação;6º Bimestre;25.13;;
CARAPEBUS;2024;Educação;6º Bimestre;26.67;;
GUAPIMIRIM;2024;Educação;6º Bimestre;27.64;;
ARRAIAL DO CABO;2024;Educação;6º Bimestre;28.91;;
TERESOPOLIS;2024;Educação;6º Bimestre;29.78;;
RIO CLARO;2024;Educação;6º Bimestre;25.8;;
MARICA;2024;Educação;6º Bimestre;26.04;;
QUATIS;2024;Educação;6º Bimestre;29.02;;
NILOPOLIS;2024;Educação;6º Bimestre;26.64;;
CABO FRIO;2024;Educação;6º Bimestre;23.28;;
VOLTA REDONDA;2024;Educação;6º Bimestre;25.48;;
ARMACAO DOS BUZIOS;2024;Educação;6º Bimestre;25.84;;
DUAS BARRAS;2024;Educação;6º Bimestre;25.05;;
SANTA MARIA MADALENA;2024;Educação;6º Bimestre;27.25;;
APERIBE;2024;Educação;6º Bimestre;31.11;;
ITALVA;2024;Educação;6º Bimestre;26.57;;
CAMBUCI;2024;Educação;6º Bimestre;33.17;;
NOVA IGUACU;2024;Educação;6º Bimestre;25.75;;
IGUABA GRANDE;2024;Educação;6º Bimestre;27.24;;
ITATIAIA;2024;Educação;6º Bimestre;27.19;;
MAGE;2024;Educação;6º Bimestre;26.79;;
SAO SEBASTIAO DO ALTO;2024;Educação;6º Bimestre;27.56;;
CONCEICAO DE MACABU;2024;Educação;6º Bimestre;26.89;;
PETROPOLIS;2024;Educação;6º Bimestre;26.89;;
MACUCO;2024;Educação;6º Bimestre;25.26;;
SANTO ANTONIO DE PADUA;2024;Educação;6º Bimestre;25.26;;
MESQUITA;2024;Educação;6º Bimestre;38.84;;
SAO JOAO DE MERITI;2024;Educação;6º Bimestre;23.48;;
MIRACEMA;2024;Educação;6º Bimestre;29.46;;
ITABORAI;2024;Educação;6º Bimestre;29.96;;
BOM JARDIM;2024;Educação;6º Bimestre;26.83;;
VALENCA;2024;Educação;6º Bimestre;34.11;;
QUISSAMA;2024;Educação;6º Bimestre;28.8;;
NOVA FRIBURGO;2024;Educação;6º Bimestre;28.87;;
LAJE DO MURIAE;2024;Educação;6º Bimestre;34.84;;
SAO GONCALO;2024;Educação;6º Bimestre;27.35;;
CAMPOS DOS GOYTACAZES;2024;Educação;6º Bimestre;26.14;;
PATY DO ALFERES;2024;Educação;6º Bimestre;27.51;;
PARATY;2024;Educação;6º Bimestre;25.5;;
AREAL;2024;Educação;6º Bimestre;25.3;;
CARMO;2024;Educação;6º Bimestre;27.38;;
CARDOSO MOREIRA;2024;Educação;6º Bimestre;28.1;;
MENDES;2024;Educação;6º Bimestre;29.28;;
SAPUCAIA;2024;Educação;6º Bimestre;25.96;;
RESENDE;2024;Educação;6º Bimestre;29.37;;
SAO FRANCISCO DE ITABAPOANA;2024;Educação;6º Bimestre;25.41;;
QUEIMADOS;2024;Educação;6º Bimestre;25.68;;
ANGRA DOS REIS;2024;Educação;6º Bimestre;27.0;;
DUQUE DE CAXIAS;2024;Educação;6º Bimestre;28.26;;
SILVA JARDIM;2024;Educação;6º Bimestre;28.64;;
BARRA MANSA;2025;Educação;;26.04;;
MIGUEL PEREIRA;2025;Educação;;24.92;;
SANTA MARIA MADALENA;2025;Educação;;29.58;;
PORTO REAL;2025;Educação;;24.49;;
DUAS BARRAS;2025;Educação;;26.07;;
QUATIS;2025;Educação;;19.06;;
PORCIUNCULA;2025;Educação;;27.32;;
TERESOPOLIS;2025;Educação;;19.72;;
ARRAIAL DO CABO;2025;Educação;;26.14;;
CARAPEBUS;2025;Educação;;22.59;;
MARICA;2025;Educação;;24.02;;
SAO JOSE DO VALE DO RIO PRETO;2025;Educação;;23.89;;
PETROPOLIS;2025;Educação;;27.08;;
SAO SEBASTIAO DO ALTO;2025;Educação;;23.89;;
ITAPERUNA;2025;Educação;;26.5;;
RIO DAS OSTRAS;2025;Educação;;20.74;;
ITATIAIA;2025;Educação;;29.3;;
NOVA IGUACU;2025;Educação;;18.91;;
MESQUITA;2025;Educação;;37.03;;
SAO FIDELIS;2025;Educação;;33.4;;
ITALVA;2025;Educação;;24.44;;
CAMBUCI;2025;Educação;;30.5;;
SEROPEDICA;2025;Educação;;30.42;;
APERIBE;2025;Educação;;27.12;;
TRES RIOS;2025;Educação;;21.69;;
RIO BONITO;2025;Educação;;-16.03;;
CASIMIRO DE ABREU;2025;Educação;;26.92;;
COMENDADOR LEVY GASPARIAN;2025;Educação;;18.99;;
SAQUAREMA;2025;Educação;;28.08;;
MACAE;2025;Educação;;23.59;;
CANTAGALO;2025;Educação;;25.34;;
PARAIBA DO SUL;2025;Educação;;21.6;;
SAO JOAO DA BARRA;2025;Educação;;24.97;;
BOM JESUS DO ITABAPOANA;2025;Educação;;27.5;;
ITAGUAI;2025;Educação;;22.14;;
PARACAMBI;2025;Educação;;21.37;;
VARRE-SAI;2025;Educação;;26.0;;
VASSOURAS;2025;Educação;;28.68;;
SUMIDOURO;2025;Educação;;36.18;;
NATIVIDADE;2025;Educação;;33.46;;
ARARUAMA;2025;Educação;;27.68;;
SAO JOSE DE UBA;2025;Educação;;26.69;;
CAMPOS DOS GOYTACAZES;2025;Educação;;17.65;;
PATY DO ALFERES;2025;Educação;;22.01;;
ENGENHEIRO PAULO DE FRONTIN;2025;Educação;;28.05;;
MANGARATIBA;2025;Educação;;23.45;;
PINHEIRAL;2025;Educação;;23.44;;
SAO PEDRO DA ALDEIA;2025;Educação;;21.62;;
NOVA FRIBURGO;2025;Educação;;23.46;;
BELFORD ROXO;2025;Educação;;-9.35;;
ITAOCARA;2025;Educação;;29.0;;
CACHOEIRAS DE MACACU;2025;Educação;;29.53;;
TANGUA;2025;Educação;;25.63;;
SANTO ANTONIO DE PADUA;2025;Educação;;26.27;;
TRAJANO DE MORAIS;2025;Educação;;31.52;;
BARRA DO PIRAI;2025;Educação;;28.52;;
SAO FRANCISCO DE ITABAPOANA;2025;Educação;;24.3;;
RIO DAS FLORES;2025;Educação;;35.26;;
DUQUE DE CAXIAS;2025;Educação;;26.42;;
NITEROI;2025;Educação;;22.41;;
QUEIMADOS;2025;Educação;;26.97;;
SAPUCAIA;2025;Educação;;25.86;;
JAPERI;2025;Educação;;18.56;;
MENDES;2025;Educação;;32.15;;
CORDEIRO;2025;Educação;;25.29;;
PIRAI;2025;Educação;;34.43;;
SAO GONCALO;2025;Educação;;26.28;;
ARMACAO DOS BUZIOS;2025;Educação;;21.64;;
QUISSAMA;2025;Educação;;31.86;;
CABO FRIO;2025;Educação;;15.97;;
LAJE DO MURIAE;2025;Educação;;30.03;;
VOLTA REDONDA;2025;Educação;;13.17;;
NILOPOLIS;2025;Educação;;23.15;;
VALENCA;2025;Educação;;18.07;;
ITABORAI;2025;Educação;;22.4;;
BOM JARDIM;2025;Educação;;27.32;;
RIO CLARO;2025;Educação;;22.54;;
MIRACEMA;2025;Educação;;23.53;;
MACUCO;2025;Educação;;25.06;;
GUAPIMIRIM;2025;Educação;;25.99;;
ANGRA DOS REIS;2025;Educação;;23.59;;
SILVA JARDIM;2025;Educação;;25.17;;
CONCEICAO DE MACABU;2025;Educação;;31.6;;
MAGE;2025;Educação;;4.52;;
IGUABA GRANDE;2025;Educação;;23.08;;
AREAL;2025;Educação;;23.04;;
CARDOSO MOREIRA;2025;Educação;;25.83;;
SAO JOAO DE MERITI;2025;Educação;;7.46;;
RESENDE;2025;Educação;;27.69;;
CARMO;2025;Educação;;26.41;;
PARATY;2025;Educação;;22.63;;
